order_id,weather,zone,traffic_level
70000,Heavy Rain,Koramangala,5
70001,Light Rain,HSR,5
70002,Heavy Rain,HSR,5
70003,Heavy Rain,Indiranagar,5
70004,Clear,Indiranagar,3
70005,Clear,HSR,5
70006,Heavy Rain,BTM,5
70007,Storm,Whitefield,3
70008,Heavy Rain,Whitefield,1
70009,Light Rain,Indiranagar,3
70010,Storm,Whitefield,2
70011,Storm,BTM,5
70012,Heavy Rain,Koramangala,3
70013,Storm,BTM,4
70014,Heavy Rain,HSR,2
70015,Clear,HSR,5
70016,Clear,HSR,4
70017,Storm,BTM,1
70018,Heavy Rain,Indiranagar,4
70019,Light Rain,BTM,5
70020,Clear,Whitefield,1
70021,Storm,Whitefield,5
70022,Heavy Rain,BTM,1
70023,Storm,Whitefield,3
70024,Heavy Rain,Koramangala,2
70025,Clear,Koramangala,3
70026,Light Rain,Koramangala,5
70027,Clear,Koramangala,2
70028,Heavy Rain,Whitefield,4
70029,Storm,BTM,3
70030,Light Rain,Whitefield,3
70031,Storm,Whitefield,4
70032,Clear,Whitefield,4
70033,Storm,Indiranagar,5
70034,Light Rain,HSR,1
70035,Light Rain,Indiranagar,2
70036,Light Rain,Whitefield,2
70037,Storm,HSR,3
70038,Clear,Whitefield,4
70039,Light Rain,Indiranagar,3
70040,Clear,BTM,4
70041,Clear,Indiranagar,4
70042,Light Rain,Whitefield,5
70043,Heavy Rain,HSR,5
70044,Clear,HSR,3
70045,Clear,BTM,4
70046,Light Rain,Koramangala,3
70047,Light Rain,BTM,4
70048,Light Rain,HSR,5
70049,Heavy Rain,Indiranagar,5
70050,Clear,BTM,2
70051,Storm,Whitefield,3
70052,Heavy Rain,Whitefield,4
70053,Clear,Indiranagar,1
70054,Light Rain,Whitefield,1
70055,Heavy Rain,Koramangala,1
70056,Storm,BTM,1
70057,Heavy Rain,Indiranagar,5
70058,Light Rain,BTM,1
70059,Heavy Rain,BTM,1
70060,Clear,Whitefield,1
70061,Light Rain,HSR,5
70062,Clear,Koramangala,3
70063,Clear,BTM,5
70064,Heavy Rain,BTM,4
70065,Light Rain,HSR,2
70066,Light Rain,HSR,5
70067,Storm,HSR,3
70068,Storm,BTM,1
70069,Clear,BTM,3
70070,Storm,Koramangala,2
70071,Heavy Rain,Koramangala,4
70072,Storm,Koramangala,1
70073,Light Rain,Indiranagar,4
70074,Storm,Indiranagar,1
70075,Storm,Indiranagar,2
70076,Storm,HSR,5
70077,Clear,Koramangala,2
70078,Heavy Rain,Koramangala,5
70079,Storm,Whitefield,1
70080,Clear,Whitefield,1
70081,Heavy Rain,HSR,1
70082,Heavy Rain,HSR,5
70083,Light Rain,Whitefield,1
70084,Heavy Rain,Whitefield,2
70085,Clear,Indiranagar,5
70086,Heavy Rain,BTM,1
70087,Clear,Indiranagar,5
70088,Light Rain,Whitefield,4
70089,Storm,Whitefield,3
70090,Heavy Rain,HSR,1
70091,Storm,BTM,4
70092,Storm,Koramangala,5
70093,Heavy Rain,BTM,1
70094,Clear,Whitefield,3
70095,Light Rain,Koramangala,5
70096,Storm,Whitefield,1
70097,Light Rain,Koramangala,4
70098,Storm,Koramangala,5
70099,Clear,BTM,3
70100,Heavy Rain,Whitefield,2
70101,Light Rain,Indiranagar,5
70102,Storm,Indiranagar,2
70103,Clear,Koramangala,4
70104,Heavy Rain,BTM,1
70105,Light Rain,Whitefield,2
70106,Storm,Koramangala,2
70107,Light Rain,Indiranagar,1
70108,Heavy Rain,HSR,3
70109,Light Rain,Indiranagar,4
70110,Clear,Indiranagar,4
70111,Heavy Rain,HSR,1
70112,Light Rain,Whitefield,2
70113,Light Rain,Whitefield,3
70114,Storm,HSR,2
70115,Storm,BTM,2
70116,Heavy Rain,Koramangala,1
70117,Storm,Whitefield,3
70118,Light Rain,Indiranagar,2
70119,Heavy Rain,BTM,4
70120,Heavy Rain,HSR,2
70121,Storm,Indiranagar,3
70122,Heavy Rain,Koramangala,1
70123,Clear,BTM,5
70124,Light Rain,HSR,3
70125,Heavy Rain,Koramangala,2
70126,Storm,Indiranagar,3
70127,Clear,HSR,5
70128,Storm,Indiranagar,2
70129,Clear,Whitefield,5
70130,Heavy Rain,HSR,1
70131,Clear,Whitefield,4
70132,Heavy Rain,Koramangala,1
70133,Storm,Whitefield,3
70134,Clear,Indiranagar,4
70135,Heavy Rain,HSR,3
70136,Light Rain,Koramangala,1
70137,Clear,Indiranagar,2
70138,Clear,BTM,4
70139,Storm,HSR,1
70140,Clear,Whitefield,4
70141,Heavy Rain,Whitefield,3
70142,Heavy Rain,Indiranagar,5
70143,Clear,Indiranagar,4
70144,Storm,HSR,5
70145,Heavy Rain,BTM,1
70146,Clear,BTM,2
70147,Clear,Koramangala,3
70148,Heavy Rain,BTM,3
70149,Heavy Rain,Whitefield,1
70150,Clear,HSR,2
70151,Clear,BTM,1
70152,Light Rain,HSR,3
70153,Storm,Indiranagar,5
70154,Heavy Rain,Indiranagar,3
70155,Light Rain,Indiranagar,5
70156,Light Rain,BTM,4
70157,Light Rain,HSR,3
70158,Storm,Koramangala,4
70159,Heavy Rain,Koramangala,1
70160,Storm,Whitefield,1
70161,Heavy Rain,Koramangala,1
70162,Heavy Rain,Koramangala,5
70163,Clear,Indiranagar,2
70164,Heavy Rain,Koramangala,2
70165,Light Rain,BTM,4
70166,Storm,BTM,3
70167,Storm,Indiranagar,5
70168,Heavy Rain,HSR,1
70169,Clear,Whitefield,1
70170,Light Rain,Whitefield,2
70171,Light Rain,BTM,1
70172,Storm,BTM,5
70173,Clear,HSR,2
70174,Heavy Rain,Indiranagar,5
70175,Light Rain,Indiranagar,4
70176,Clear,Whitefield,4
70177,Light Rain,HSR,5
70178,Heavy Rain,Whitefield,5
70179,Heavy Rain,Koramangala,2
70180,Light Rain,Whitefield,4
70181,Light Rain,Whitefield,3
70182,Heavy Rain,HSR,3
70183,Heavy Rain,HSR,5
70184,Clear,BTM,2
70185,Clear,Koramangala,5
70186,Heavy Rain,Whitefield,1
70187,Heavy Rain,Whitefield,3
70188,Heavy Rain,Indiranagar,3
70189,Light Rain,HSR,1
70190,Light Rain,Koramangala,2
70191,Heavy Rain,Koramangala,3
70192,Heavy Rain,HSR,1
70193,Clear,Indiranagar,4
70194,Storm,BTM,4
70195,Storm,HSR,3
70196,Clear,Koramangala,4
70197,Storm,Whitefield,4
70198,Storm,BTM,5
70199,Storm,BTM,3
70200,Storm,Indiranagar,2
70201,Clear,Whitefield,3
70202,Light Rain,BTM,3
70203,Heavy Rain,Whitefield,4
70204,Storm,HSR,3
70205,Storm,BTM,3
70206,Clear,BTM,5
70207,Storm,Indiranagar,2
70208,Clear,Whitefield,2
70209,Clear,BTM,3
70210,Clear,HSR,1
70211,Clear,Whitefield,5
70212,Clear,HSR,4
70213,Clear,HSR,1
70214,Heavy Rain,BTM,1
70215,Storm,HSR,5
70216,Storm,Koramangala,3
70217,Heavy Rain,BTM,4
70218,Heavy Rain,Koramangala,4
70219,Storm,Indiranagar,2
70220,Heavy Rain,Koramangala,3
70221,Light Rain,Koramangala,5
70222,Clear,HSR,1
70223,Heavy Rain,BTM,5
70224,Heavy Rain,Koramangala,4
70225,Storm,Whitefield,3
70226,Storm,HSR,4
70227,Clear,HSR,2
70228,Storm,Whitefield,1
70229,Clear,BTM,2
70230,Clear,BTM,4
70231,Clear,Koramangala,3
70232,Heavy Rain,Whitefield,4
70233,Light Rain,BTM,2
70234,Storm,Indiranagar,3
70235,Storm,Koramangala,3
70236,Heavy Rain,Whitefield,2
70237,Heavy Rain,HSR,1
70238,Heavy Rain,Koramangala,1
70239,Clear,HSR,2
70240,Heavy Rain,Koramangala,3
70241,Heavy Rain,BTM,3
70242,Storm,Koramangala,5
70243,Heavy Rain,Koramangala,2
70244,Light Rain,BTM,3
70245,Clear,Koramangala,2
70246,Heavy Rain,Indiranagar,2
70247,Heavy Rain,Indiranagar,5
70248,Heavy Rain,HSR,5
70249,Clear,BTM,3
70250,Clear,Indiranagar,1
70251,Storm,BTM,1
70252,Storm,Koramangala,4
70253,Heavy Rain,BTM,4
70254,Clear,Indiranagar,3
70255,Heavy Rain,HSR,2
70256,Light Rain,Indiranagar,5
70257,Clear,HSR,3
70258,Light Rain,HSR,2
70259,Heavy Rain,Koramangala,5
70260,Light Rain,Indiranagar,1
70261,Heavy Rain,Indiranagar,1
70262,Heavy Rain,Indiranagar,5
70263,Heavy Rain,Indiranagar,3
70264,Clear,Koramangala,5
70265,Storm,Indiranagar,1
70266,Storm,Whitefield,1
70267,Light Rain,HSR,5
70268,Heavy Rain,HSR,5
70269,Heavy Rain,HSR,5
70270,Light Rain,BTM,5
70271,Clear,Indiranagar,4
70272,Clear,HSR,2
70273,Storm,BTM,4
70274,Storm,Koramangala,1
70275,Light Rain,BTM,3
70276,Heavy Rain,Indiranagar,3
70277,Light Rain,HSR,4
70278,Storm,Indiranagar,1
70279,Heavy Rain,HSR,1
70280,Storm,HSR,3
70281,Clear,Koramangala,5
70282,Light Rain,BTM,1
