feedback_id,order_id,complaint_tag,rating_stars,refund_issued
FB_70000,70000,None,4,FALSE
FB_70001,70001,None,5,FALSE
FB_70002,70002,None,4,FALSE
FB_70003,70003,Late,3,FALSE
FB_70004,70004,Late,1,TRUE
FB_70005,70005,None,5,FALSE
FB_70006,70006,None,5,FALSE
FB_70007,70007,None,5,FALSE
FB_70008,70008,None,4,FALSE
FB_70009,70009,None,4,FALSE
FB_70010,70010,Spill,2,TRUE
FB_70011,70011,None,4,FALSE
FB_70012,70012,None,5,FALSE
FB_70013,70013,None,4,FALSE
FB_70014,70014,None,5,FALSE
FB_70015,70015,None,4,FALSE
FB_70016,70016,None,5,FALSE
FB_70017,70017,None,5,FALSE
FB_70018,70018,None,5,FALSE
FB_70019,70019,None,4,FALSE
FB_70020,70020,None,5,FALSE
FB_70021,70021,None,4,FALSE
FB_70022,70022,None,4,FALSE
FB_70023,70023,None,4,FALSE
FB_70024,70024,Spill,2,FALSE
FB_70025,70025,None,4,FALSE
FB_70026,70026,None,4,FALSE
FB_70027,70027,None,4,FALSE
FB_70028,70028,None,4,FALSE
FB_70029,70029,None,4,FALSE
FB_70030,70030,None,5,FALSE
FB_70031,70031,None,4,FALSE
FB_70032,70032,None,4,FALSE
FB_70033,70033,None,4,FALSE
FB_70034,70034,Not Tasty,3,TRUE
FB_70035,70035,None,5,FALSE
FB_70036,70036,Not Tasty,3,TRUE
FB_70037,70037,None,5,FALSE
FB_70038,70038,None,4,FALSE
FB_70039,70039,None,4,FALSE
FB_70040,70040,Late,3,FALSE
FB_70041,70041,None,4,FALSE
FB_70042,70042,None,5,FALSE
FB_70043,70043,Late,3,FALSE
FB_70044,70044,None,5,FALSE
FB_70045,70045,None,4,FALSE
FB_70046,70046,None,4,FALSE
FB_70047,70047,Late,3,TRUE
FB_70048,70048,None,4,FALSE
FB_70049,70049,None,4,FALSE
FB_70050,70050,None,5,FALSE
FB_70051,70051,None,4,FALSE
FB_70052,70052,Late,2,TRUE
FB_70053,70053,Late,1,TRUE
FB_70054,70054,None,5,FALSE
FB_70055,70055,None,5,FALSE
FB_70056,70056,None,5,FALSE
FB_70057,70057,Not Tasty,2,FALSE
FB_70058,70058,None,4,FALSE
FB_70059,70059,None,5,FALSE
FB_70060,70060,None,4,FALSE
FB_70061,70061,None,5,FALSE
FB_70062,70062,None,5,FALSE
FB_70063,70063,None,5,FALSE
FB_70064,70064,None,5,FALSE
FB_70065,70065,Not Tasty,3,FALSE
FB_70066,70066,None,5,FALSE
FB_70067,70067,None,4,FALSE
FB_70068,70068,None,4,FALSE
FB_70069,70069,Not Tasty,3,FALSE
FB_70070,70070,None,4,FALSE
FB_70071,70071,None,4,FALSE
FB_70072,70072,None,4,FALSE
FB_70073,70073,None,5,FALSE
FB_70074,70074,None,5,FALSE
FB_70075,70075,None,5,FALSE
FB_70076,70076,None,5,FALSE
FB_70077,70077,Spill,2,TRUE
FB_70078,70078,None,5,FALSE
FB_70079,70079,Late,1,FALSE
FB_70080,70080,Spill,2,TRUE
FB_70081,70081,None,5,FALSE
FB_70082,70082,Spill,1,TRUE
FB_70083,70083,None,5,FALSE
FB_70084,70084,Spill,2,FALSE
FB_70085,70085,None,5,FALSE
FB_70086,70086,None,4,FALSE
FB_70087,70087,None,4,FALSE
FB_70088,70088,Late,1,TRUE
FB_70089,70089,None,5,FALSE
FB_70090,70090,None,5,FALSE
FB_70091,70091,None,4,FALSE
FB_70092,70092,None,5,FALSE
FB_70093,70093,None,4,FALSE
FB_70094,70094,None,5,FALSE
FB_70095,70095,None,4,FALSE
FB_70096,70096,None,5,FALSE
FB_70097,70097,Late,2,TRUE
FB_70098,70098,Spill,1,FALSE
FB_70099,70099,None,4,FALSE
FB_70100,70100,None,4,FALSE
FB_70101,70101,None,4,FALSE
FB_70102,70102,None,5,FALSE
FB_70103,70103,None,5,FALSE
FB_70104,70104,None,5,FALSE
FB_70105,70105,Late,3,FALSE
FB_70106,70106,None,4,FALSE
FB_70107,70107,None,5,FALSE
FB_70108,70108,Spill,2,TRUE
FB_70109,70109,Spill,2,TRUE
FB_70110,70110,None,5,FALSE
FB_70111,70111,None,5,FALSE
FB_70112,70112,Spill,1,TRUE
FB_70113,70113,Not Tasty,3,TRUE
FB_70114,70114,None,4,FALSE
FB_70115,70115,Late,2,FALSE
FB_70116,70116,None,5,FALSE
FB_70117,70117,None,4,FALSE
FB_70118,70118,None,4,FALSE
FB_70119,70119,None,4,FALSE
FB_70120,70120,None,5,FALSE
FB_70121,70121,None,4,FALSE
FB_70122,70122,None,4,FALSE
