order_id,customer_id,order_time,prep_time_est_mins,est_prep_to_delivery_mins,total_amount,order_status
70000,5633,"Friday, May 31, 2024, 8:27:00 PM",23,50,727,Successful
70001,8212,"Saturday, September 21, 2024, 7:28:00 AM",30,60,590,Successful
70002,7922,"Tuesday, July 9, 2024, 9:00:00 PM",28,56,638,Successful
70003,5395,"Saturday, May 4, 2024, 12:17:00 AM",28,50,1175,Successful
70004,3484,"Friday, May 17, 2024, 1:39:00 PM",20,49,713,Cancelled
70005,1955,"Tuesday, April 9, 2024, 10:12:00 PM",29,59,388,Successful
70006,6325,"Tuesday, September 24, 2024, 2:55:00 AM",29,54,926,Successful
70007,8489,"Monday, January 22, 2024, 12:27:00 AM",31,76,303,Successful
70008,5621,"Thursday, April 18, 2024, 3:30:00 AM",36,79,327,Successful
70009,3123,"Friday, February 2, 2024, 5:51:00 PM",36,70,687,Successful
70010,7625,"Tuesday, September 17, 2024, 8:45:00 PM",28,53,367,Successful
70011,4229,"Saturday, February 24, 2024, 11:25:00 PM",24,56,622,Returned
70012,8899,"Saturday, December 28, 2024, 11:14:00 PM",38,70,577,Successful
70013,2045,"Saturday, March 2, 2024, 3:08:00 AM",30,60,291,Successful
70014,5115,"Sunday, April 28, 2024, 5:24:00 PM",28,56,606,Successful
70015,3149,"Thursday, August 8, 2024, 12:08:00 AM",34,75,710,Successful
70016,4582,"Thursday, September 26, 2024, 5:37:00 PM",37,76,1039,Successful
70017,2261,"Thursday, March 14, 2024, 7:07:00 PM",33,74,1144,Successful
70018,2237,"Friday, November 1, 2024, 9:06:00 AM",20,49,651,Successful
70019,4900,"Thursday, February 8, 2024, 12:35:00 PM",38,61,569,Cancelled
70020,6265,"Sunday, June 16, 2024, 2:35:00 AM",24,56,490,Successful
70021,7719,"Sunday, April 21, 2024, 11:24:00 PM",20,59,291,Cancelled
70022,7220,"Thursday, November 14, 2024, 10:05:00 PM",36,81,559,Successful
70023,5911,"Friday, March 15, 2024, 3:58:00 AM",33,69,788,Successful
70024,3940,"Thursday, December 26, 2024, 12:16:00 PM",39,73,1060,Successful
70025,8323,"Wednesday, August 7, 2024, 5:03:00 PM",39,61,696,Successful
70026,1114,"Monday, September 16, 2024, 1:57:00 PM",26,65,1123,Successful
70027,1854,"Monday, March 11, 2024, 4:42:00 PM",33,67,259,Cancelled
70028,3718,"Thursday, February 1, 2024, 11:02:00 AM",22,64,1028,Successful
70029,1581,"Sunday, October 20, 2024, 11:45:00 AM",35,59,1061,Successful
70030,6112,"Saturday, May 18, 2024, 10:02:00 AM",26,65,168,Successful
70031,5111,"Tuesday, April 9, 2024, 4:36:00 PM",21,47,345,Successful
70032,4248,"Wednesday, June 12, 2024, 5:29:00 AM",22,45,428,Successful
70033,7226,"Thursday, February 15, 2024, 3:14:00 AM",22,44,1118,Successful
70034,1701,"Monday, June 3, 2024, 7:53:00 AM",25,61,371,Successful
70035,5520,"Saturday, January 27, 2024, 5:11:00 AM",24,58,830,Successful
70036,4746,"Friday, February 2, 2024, 3:22:00 AM",27,63,212,Cancelled
70037,7220,"Thursday, April 25, 2024, 1:46:00 AM",34,62,526,Successful
70038,4049,"Friday, December 6, 2024, 12:16:00 AM",34,62,402,Successful
70039,4466,"Sunday, November 10, 2024, 5:13:00 AM",37,63,178,Successful
70040,7928,"Saturday, March 9, 2024, 4:20:00 AM",26,50,1129,Successful
70041,4637,"Monday, February 26, 2024, 8:47:00 PM",27,58,915,Successful
70042,3766,"Wednesday, June 5, 2024, 7:24:00 PM",38,65,210,Returned
70043,6262,"Friday, March 29, 2024, 1:38:00 AM",23,46,883,Successful
70044,5092,"Wednesday, December 18, 2024, 2:34:00 PM",30,56,898,Successful
70045,4690,"Sunday, November 10, 2024, 8:48:00 PM",26,62,159,Successful
70046,7308,"Monday, July 8, 2024, 4:37:00 AM",22,61,944,Cancelled
70047,2099,"Monday, February 12, 2024, 11:37:00 AM",36,58,456,Successful
70048,5868,"Tuesday, May 21, 2024, 4:40:00 PM",34,72,731,Successful
70049,6778,"Friday, April 12, 2024, 11:30:00 PM",30,51,525,Successful
70050,1942,"Saturday, January 6, 2024, 8:45:00 AM",38,70,1028,Successful
70051,8906,"Wednesday, June 26, 2024, 4:37:00 AM",37,69,380,Successful
70052,6580,"Monday, January 22, 2024, 11:52:00 PM",27,52,268,Successful
70053,5705,"Tuesday, August 20, 2024, 2:15:00 PM",30,55,908,Successful
70054,2318,"Thursday, May 23, 2024, 5:14:00 AM",38,81,1142,Successful
70055,2202,"Wednesday, June 26, 2024, 12:30:00 AM",32,64,293,Cancelled
70056,1660,"Friday, July 12, 2024, 4:15:00 AM",23,44,659,Successful
70057,3636,"Wednesday, May 29, 2024, 5:47:00 PM",24,47,567,Successful
70058,5101,"Monday, March 11, 2024, 5:12:00 PM",21,45,841,Successful
70059,2764,"Tuesday, January 2, 2024, 12:33:00 AM",28,72,426,Returned
70060,7800,"Sunday, November 24, 2024, 11:16:00 PM",36,67,216,Successful
70061,2593,"Friday, January 19, 2024, 3:35:00 AM",29,60,299,Successful
70062,8207,"Thursday, January 25, 2024, 10:39:00 PM",35,77,159,Cancelled
70063,7064,"Monday, May 27, 2024, 3:16:00 PM",36,66,630,Successful
70064,4379,"Friday, August 2, 2024, 5:34:00 PM",24,66,170,Successful
70065,8955,"Tuesday, October 8, 2024, 11:14:00 PM",31,53,943,Successful
70066,8868,"Saturday, May 18, 2024, 1:18:00 AM",33,72,1197,Successful
70067,6004,"Wednesday, March 20, 2024, 10:34:00 PM",28,48,1183,Successful
70068,5255,"Friday, May 24, 2024, 6:06:00 PM",24,44,397,Successful
70069,3384,"Friday, November 8, 2024, 8:55:00 AM",36,56,692,Successful
70070,5398,"Wednesday, July 3, 2024, 11:02:00 AM",20,46,504,Successful
70071,2705,"Sunday, March 31, 2024, 3:24:00 PM",35,60,1070,Returned
70072,3020,"Saturday, July 27, 2024, 11:14:00 AM",33,64,1130,Returned
70073,7105,"Sunday, September 29, 2024, 12:58:00 AM",23,67,1082,Successful
70074,5859,"Thursday, August 29, 2024, 2:52:00 PM",33,60,823,Successful
70075,1932,"Thursday, December 5, 2024, 7:54:00 AM",32,56,945,Returned
70076,6925,"Sunday, August 11, 2024, 12:46:00 PM",28,49,956,Successful
70077,6565,"Monday, November 4, 2024, 12:12:00 PM",34,72,686,Successful
70078,2835,"Thursday, January 25, 2024, 9:41:00 AM",30,53,1009,Successful
70079,5972,"Saturday, August 24, 2024, 6:47:00 AM",30,61,814,Successful
70080,2195,"Tuesday, June 4, 2024, 2:20:00 AM",32,77,1081,Successful
70081,5216,"Monday, August 5, 2024, 7:36:00 PM",26,55,314,Returned
70082,7941,"Friday, July 5, 2024, 2:37:00 AM",29,63,608,Successful
70083,6570,"Friday, March 29, 2024, 7:45:00 AM",35,69,329,Successful
70084,7631,"Sunday, June 2, 2024, 12:45:00 PM",25,54,873,Successful
70085,1439,"Monday, April 22, 2024, 7:22:00 PM",22,56,324,Successful
70086,7829,"Sunday, December 22, 2024, 5:36:00 PM",23,44,1199,Successful
70087,1058,"Tuesday, June 4, 2024, 11:56:00 PM",23,62,568,Successful
70088,8310,"Monday, January 8, 2024, 4:14:00 PM",37,63,747,Successful
70089,2082,"Wednesday, May 22, 2024, 11:19:00 AM",34,68,319,Successful
70090,6653,"Thursday, November 21, 2024, 3:32:00 PM",28,73,561,Returned
70091,7959,"Sunday, March 24, 2024, 5:59:00 AM",30,60,828,Successful
70092,7264,"Thursday, September 5, 2024, 12:39:00 AM",22,58,944,Successful
70093,2509,"Friday, April 26, 2024, 1:07:00 AM",24,46,624,Successful
70094,6470,"Friday, December 20, 2024, 5:24:00 PM",40,70,165,Successful
70095,6039,"Tuesday, October 15, 2024, 6:50:00 AM",28,66,1110,Successful
70096,7596,"Saturday, January 6, 2024, 4:35:00 PM",28,64,863,Successful
70097,8041,"Tuesday, October 15, 2024, 3:58:00 AM",29,50,218,Successful
70098,6265,"Tuesday, July 23, 2024, 2:06:00 PM",24,65,228,Successful
70099,5344,"Saturday, May 18, 2024, 11:25:00 PM",24,53,545,Successful
70100,1215,"Thursday, August 29, 2024, 8:56:00 AM",34,60,929,Successful
70101,2692,"Tuesday, December 3, 2024, 9:10:00 PM",39,63,573,Successful
70102,3020,"Thursday, April 11, 2024, 11:33:00 AM",35,68,401,Successful
70103,4835,"Wednesday, January 17, 2024, 6:10:00 PM",37,67,1196,Successful
70104,6714,"Tuesday, July 30, 2024, 7:51:00 PM",23,55,254,Successful
70105,5897,"Wednesday, May 22, 2024, 10:37:00 AM",32,68,555,Successful
70106,8316,"Thursday, November 14, 2024, 9:29:00 PM",39,84,1080,Successful
70107,4831,"Saturday, January 27, 2024, 10:11:00 AM",39,76,369,Successful
70108,6498,"Monday, April 8, 2024, 6:03:00 PM",38,63,447,Successful
70109,7407,"Wednesday, December 4, 2024, 6:33:00 PM",26,65,754,Successful
70110,3553,"Thursday, December 5, 2024, 5:40:00 PM",37,81,881,Successful
70111,8686,"Saturday, March 2, 2024, 5:44:00 AM",35,65,1066,Successful
70112,7258,"Thursday, September 19, 2024, 3:46:00 PM",36,61,856,Successful
70113,4204,"Saturday, December 28, 2024, 12:37:00 AM",24,66,243,Successful
70114,6562,"Monday, May 13, 2024, 8:30:00 AM",27,60,274,Successful
